Title,Description,Location,Date,Price,Marketed
Newly Built 6 Flat Of 2 Bedroom With 3 Bedroom Detached Duplex,3 bedroom block of flats for sale,"  Ponle Akowonjo, Egbeda, Alimosho, Lagos",Added on 06 Jul 2022,"₦130,000,000 ",Loyalty Homes Limited & Autos Reg No 1738187  08169222741 
2 Numbers Of 3 Bedroom To Roofing Level 60 X 100ft In A Serene Enivron,3 bedroom semi-detached duplex for sale,"  Lasu Isheri Expressway, Igando, Akesan, Alimosho, Lagos",Added on 05 Jul 2022,"₦16,000,000 ",Amerison Onorose Nig Ltd  +2348033956486 
2 Bedroom Duplex With 3 Toilet On A Quater Plot,2 bedroom detached duplex for sale,"  Mupta-alade Street, Isitu Road, Egan, Igando, Alimosho, Lagos",Added on 27 Jun 2022,"₦13,500,000 ",Amerison Onorose Nig Ltd  +2348033956486 
3/4 Plot Of Land In A Serene Environment,Land for sale,"  Abule - Onilu Behind Diamond Estate Phase 3, Hotel Busstop, Igando, Isheri Olofin, Alimosho, Lagos",Added on 27 Jun 2022,"₦13,000,000 ",Amerison Onorose Nig Ltd  +2348033956486 
Half Plot Of Land At Well Advanced Estate,Residential land for sale,"  Valley View Est Aboru Ipaja Road Lagos Under Agbado Oke Odo Lcda, Alimosho, Lagos",Added on 04 Dec 2021,"₦18,000,000 ",Letsales.com.ng  07064937423 
Newly Built 5 Bedroom Duplex With State Of The Art Creativity,5 bedroom detached duplex for sale,"  Ggowon Estate, Egbeda, Alimosho, Lagos",Added on 22 Dec 2021,"₦60,000,000 ",Letsales.com.ng  07064937423 
Luxury 4 Bedroom Duplex,4 bedroom detached duplex for sale,"  Gowon Estate, Egbeda, Alimosho, Lagos",Added on 15 Jun 2022,"₦65,000,000 ",Anibal Properties Global Logistics Limited  08103087198 
Land,Mixed-use land for sale,"  Jaiyeoba, Egbeda, Alimosho, Lagos",Added on 07 Jun 2022,"₦40,000,000 ",Kendan Property Services  08084789565 
2 Bedroom Apartment,2 bedroom flat / apartment for sale,"  Lambe, Akowonjo, Alimosho, Lagos",Added on 17 Mar 2022,"₦25,000,000 ",Alfafa Synergy  +2348068321289 
Tittle (exission) Emerald Court,Residential land for sale,"  Behind Diamond Estate, Lasu Igando Road., Isheri Olofin, Alimosho, Lagos",Added on 09 Nov 2021,"₦15,000,000 per plot ",Pertinence Properties Limited  09063148068 
Commercial Warehouse/supermarket,Warehouse for sale,"  Along Lasu Igando Isheri Road, Alimosho, Lagos",Added on 28 Oct 2021,"₦150,000,000 ",Noble Touch Properties  08028546708 
Executive Apartments With Shops,2 bedroom detached bungalow for sale,"  Oke Odo Baruwa, Egbeda, Alimosho, Lagos",Added on 17 Oct 2021,"₦35,000,000 ",Noble Touch Properties  08028546708 
Executive Luxury 4 Bedroom Fully Detached Duplex In A Gated Estate,4 bedroom detached duplex for sale,"  Ipaja Close To Gowon, Egbeda, Alimosho, Lagos",Added on 11 Sep 2022,"₦47,000,000 ",Temitope Global Team Services  07033714272 
6 Bedroom Duplex With Large Compound,6 bedroom detached duplex for sale,"  Serene Area, Off Lasu-igando Road, Isheri Olofin, Alimosho, Lagos",Added on 09 Sep 2022,"₦65,000,000 ",Toplift Realtors  08029763540 
Beautifully Finished 4 Bedroom Bungalow,4 bedroom house for sale,"  Egbeda, Alimosho, Lagos",Added on 08 Sep 2022,"₦35,000,000 ",Property Marketers  09132706486 
Well Built 3 Bedroom Bungalow With Bq,3 bedroom house for sale,"  Egbeda, Alimosho, Lagos",Added on 08 Sep 2022,"₦45,000,000 ",Property Marketers  09132706486 
Massive 5 Bedroom House With Attached 2 Bedroom And 3 Bedroom Apartment,5 bedroom detached duplex for sale,"  Unity Estate, Egbeda, Alimosho, Lagos",Added on 07 Sep 2022,"₦180,000,000 ",Win-winee Services Limited  08182078758 
Title,Description,Location,Date,Price,Marketed
Exquisitely Finished 4 Bedroom Bungalow,4 bedroom house for sale,"  Egbeda, Alimosho, Lagos",Added on 06 Sep 2022,"₦45,000,000 ",Property Marketers  09132706486 
Luxury Standard 6 Bedroom Duplex With 2 Siting Room In A Good Location,6 bedroom detached duplex for sale,"  Egbeda, Alimosho, Lagos",Added on 05 Sep 2022,"₦110,000,000 ",Temitope Global Team Services  07033714272 
Full Plot And Half With Demolishable Structure That Can Be Shared,Mixed-use land for sale,"  Dopemu, Akowonjo, Alimosho, Lagos",Added on 05 Sep 2022,"₦75,000,000 ",Temitope Global Team Services  07033714272 
4-bedroom Detached House On A Plot Of Land,4 bedroom house for sale,"  Egbeda, Alimosho, Lagos",Added on 02 Sep 2022,"₦75,000,000 ",Mcrich Consulting Limited  08030412154 
Solid 3 Bedroom Duplex,3 bedroom semi-detached duplex for sale,"  Gowon Estate, Egbeda, Alimosho, Lagos",Added on 31 Aug 2022,"₦35,000,000 ",Toplift Realtors  08029763540 
